gene	compartment	present_in_object	percent_expressing	average_expression	n_nuclei	mean_rank_desc	highest_or_enriched_expression_in_loop_tal	notes
CLDN14	Endothelial	TRUE	2.9711	0.032173905859215	2558	2	FALSE	Descriptive marker summary only.
CLDN14	Injured_undifferentiated_epithelial	TRUE	1.6518	0.0206797256074921	2361	3	FALSE	Descriptive marker summary only.
CLDN14	Pericyte_smooth_muscle	TRUE	0.6757	0.00279431766137097	148	6	FALSE	Descriptive marker summary only.
CLDN14	Loop_of_Henle_TAL	TRUE	41.1111	0.537357770478667	540	1	TRUE	Loop/TAL has the highest average expression descriptively.
CASR	Collecting_duct_principal	TRUE	3.5152	0.0529728842004045	34849	5	FALSE	Descriptive marker summary only.
CASR	Fibroblast_stromal	TRUE	15.6634	0.214036917401448	3422	2	FALSE	Descriptive marker summary only.
CASR	Endothelial	TRUE	2.2674	0.0255742499960919	2558	6	FALSE	Descriptive marker summary only.
CASR	Injured_undifferentiated_epithelial	TRUE	2.4989	0.0540728490958788	2361	4	FALSE	Descriptive marker summary only.
CASR	Pericyte_smooth_muscle	TRUE	6.0811	0.0889344793771188	148	3	FALSE	Descriptive marker summary only.
CASR	Loop_of_Henle_TAL	TRUE	84.6296	1.6742806260509	540	1	TRUE	Loop/TAL has the highest average expression descriptively.
PKD2	Collecting_duct_principal	TRUE	40.1561	0.678045160804651	34849	5	FALSE	Descriptive marker summary only.
PKD2	Fibroblast_stromal	TRUE	52.9223	0.842377965113989	3422	4	FALSE	Descriptive marker summary only.
PKD2	Endothelial	TRUE	55.2776	0.943314739571138	2558	2	FALSE	Descriptive marker summary only.
PKD2	Injured_undifferentiated_epithelial	TRUE	29.3943	0.524814680433882	2361	6	FALSE	Descriptive marker summary only.
PKD2	Pericyte_smooth_muscle	TRUE	59.4595	0.94218495928458	148	3	FALSE	Descriptive marker summary only.
PKD2	Loop_of_Henle_TAL	TRUE	73.7037	1.1213711171622	540	1	TRUE	Loop/TAL has the highest average expression descriptively.
HIBADH	Collecting_duct_principal	TRUE	23.6277	0.327961535563454	34849	4	FALSE	Descriptive marker summary only.
HIBADH	Fibroblast_stromal	TRUE	29.3396	0.402626362300108	3422	3	FALSE	Descriptive marker summary only.
HIBADH	Endothelial	TRUE	22.3221	0.298919753201938	2558	5	FALSE	Descriptive marker summary only.
HIBADH	Injured_undifferentiated_epithelial	TRUE	17.5349	0.2624160168558	2361	6	FALSE	Descriptive marker summary only.
HIBADH	Pericyte_smooth_muscle	TRUE	45.9459	0.674997504857337	148	2	FALSE	Descriptive marker summary only.
HIBADH	Loop_of_Henle_TAL	TRUE	77.5926	1.35391839007609	540	1	TRUE	Loop/TAL has the highest average expression descriptively.
