gene	repaired_reporting_group	included_in_main_figure	reason_for_inclusion	magma_summary	snRNA_summary	twas_summary	spatial_summary	bulk_summary	notes
POU2AF1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=95	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TLN2	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=100	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
KLK15	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=102	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TAX1BP1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=105	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
KYAT3	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=107	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
GLUD1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=109	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SLC15A2	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=110	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
BCR	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=114	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
QPCTL	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=117	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CHP1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=125	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RSPH14	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=126	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
MED20	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=129	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CARMIL1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=132	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RRAGD	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=133	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TRIM26	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=138	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SLC2A4RG	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=145	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
FBXO46	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=149	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
OIP5	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=152	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
AMPD3	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=154	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RAP1GAP	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=161	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
AOPEP	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=162	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TFEB	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=165	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PDE8A	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=166	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
INO80	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=167	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ACP1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=168	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CRAT	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=171	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
BCAS3	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=172	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
BABAM2	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=174	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
DDR1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=177	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
FN3K	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=179	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
INTS2	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=180	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TRPM7	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=187	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TMEM171	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=191	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ADK	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=192	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
USP50	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=194	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RTEL1	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=195	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
FAM227A	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=196	strong_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ALG12	R1	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=201	strong_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
MED1	R2	TRUE	All small TWAS-proxy context groups included without extra visual weighting.	top50; rank=32	strong_context_support	stronger_proxy_annotation_only; multi_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PPHLN1	R3	TRUE	All small TWAS-proxy context groups included without extra visual weighting.	fdr05; rank=118	strong_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
FNIP2	R3	TRUE	All small TWAS-proxy context groups included without extra visual weighting.	fdr05; rank=134	strong_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TBX2	R4	TRUE	Representative gene selected by repaired group and MAGMA/TWAS ordering.	top50; rank=1	no_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
LMAN2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=2	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PTGER1	R4	TRUE	Representative gene selected by repaired group and MAGMA/TWAS ordering.	top50; rank=3	partial_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
DGKD	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=4	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
DGKH	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=12	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
MINDY4	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=13	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SPATA31H1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=14	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SLC30A10	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=16	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SAG	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=17	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RGS14	R4	TRUE	Representative gene selected by repaired group and MAGMA/TWAS ordering.	top50; rank=18	partial_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ZNF512	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=20	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
GCKR	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=22	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ALPL	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=23	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SLC34A1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=24	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PTGS2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=26	no_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ZFPM1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=27	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
FBXL20	R4	TRUE	Representative gene selected by repaired group and MAGMA/TWAS ordering.	top50; rank=30	partial_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
GIPR	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=31	partial_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
LRRC37A	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=33	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
C19orf48P	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=36	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TRIOBP	R4	TRUE	Representative gene selected by repaired group and MAGMA/TWAS ordering.	top50; rank=38	no_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
KCNK5	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=40	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
MXD3	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=41	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
YAF2	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=42	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
KANSL1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=43	partial_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RAB29	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=44	partial_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
STH	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=45	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
LINC02875	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=46	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SPCS1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=47	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
MAPT	R4	TRUE	Representative gene selected by repaired group and MAGMA/TWAS ordering.	top50; rank=48	partial_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PRELID1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top50; rank=49	no_context_support	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CRHR1	R4	TRUE	Representative gene selected by repaired group and MAGMA/TWAS ordering.	top50; rank=50	no_context_support	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SPPL2C	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=51	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PBRM1	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	top100; rank=52	partial_context_support	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
