module_name	adjustment_model	covariates_included	n_paired_patients	n_samples_used	base_group_coefficient	adjusted_group_coefficient	coefficient_change_percent	base_p_value	adjusted_p_value	base_fdr	adjusted_fdr_within_model_family	attenuation_class	interpretation	notes
MAGMA_Bonferroni	single_fibroblast_stromal_ECM	fibroblast_stromal_ECM	26	52	0.17423017748957	0.134070017140197	-23.0500599425589	0.0570355001806448	0.104474533118583	0.071294375225806	0.130593166398228	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_FDR05	single_fibroblast_stromal_ECM	fibroblast_stromal_ECM	26	52	0.172126461072211	0.128743092844497	-25.2043572832849	0.0384243004957732	0.0656630365941844	0.071294375225806	0.130593166398228	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_suggestive_p1e4	single_fibroblast_stromal_ECM	fibroblast_stromal_ECM	26	52	0.173421603305168	0.126813665122953	-26.875508756657	0.0492445152631739	0.0859271515748409	0.071294375225806	0.130593166398228	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top100	single_fibroblast_stromal_ECM	fibroblast_stromal_ECM	26	52	0.169086129009649	0.130245022238317	-22.9711963948951	0.0538124781711585	0.0984754756251341	0.071294375225806	0.130593166398228	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top50	single_fibroblast_stromal_ECM	fibroblast_stromal_ECM	26	52	0.170412678077428	0.14710480011491	-13.6773145199492	0.0823578410385841	0.132505800100819	0.0823578410385841	0.132505800100819	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_Bonferroni	single_fibrosis_remodeling	fibrosis_remodeling	26	52	0.17423017748957	0.147365565263312	-15.4190351024963	0.0570355001806448	0.091548739879931	0.071294375225806	0.113464721446198	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_FDR05	single_fibrosis_remodeling	fibrosis_remodeling	26	52	0.172126461072211	0.142806791188732	-17.0337957922569	0.0384243004957732	0.0612659593456349	0.071294375225806	0.113464721446198	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_suggestive_p1e4	single_fibrosis_remodeling	fibrosis_remodeling	26	52	0.173421603305168	0.142276277031996	-17.9593116887324	0.0492445152631739	0.0789498123156749	0.071294375225806	0.113464721446198	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top100	single_fibrosis_remodeling	fibrosis_remodeling	26	52	0.169086129009649	0.142769785267762	-15.5638690743138	0.0538124781711585	0.0866136882785609	0.071294375225806	0.113464721446198	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top50	single_fibrosis_remodeling	fibrosis_remodeling	26	52	0.170412678077428	0.157944549869859	-7.31643229144242	0.0823578410385841	0.113464721446198	0.0823578410385841	0.113464721446198	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_Bonferroni	single_endothelial_proxy	endothelial_proxy	26	52	0.17423017748957	0.102640698517311	-41.0890237292817	0.0570355001806448	0.180317549028514	0.071294375225806	0.224129270047158	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_FDR05	single_endothelial_proxy	endothelial_proxy	26	52	0.172126461072211	0.111953588012471	-34.9585256589316	0.0384243004957732	0.119974945587643	0.071294375225806	0.224129270047158	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_suggestive_p1e4	single_endothelial_proxy	endothelial_proxy	26	52	0.173421603305168	0.10683339292499	-38.3967216950496	0.0492445152631739	0.154551369503313	0.071294375225806	0.224129270047158	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top100	single_endothelial_proxy	endothelial_proxy	26	52	0.169086129009649	0.102003889108202	-39.6734139543871	0.0538124781711585	0.169139767935379	0.071294375225806	0.224129270047158	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top50	single_endothelial_proxy	endothelial_proxy	26	52	0.170412678077428	0.110278043034273	-35.2876533140526	0.0823578410385841	0.224129270047158	0.0823578410385841	0.224129270047158	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_Bonferroni	single_immune_proxy	immune_proxy	26	52	0.17423017748957	0.145979629775101	-16.2144974662384	0.0570355001806448	0.126524896393296	0.071294375225806	0.158156120491619	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_FDR05	single_immune_proxy	immune_proxy	26	52	0.172126461072211	0.146880967346934	-14.6668290093327	0.0384243004957732	0.0902074945458801	0.071294375225806	0.158156120491619	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_suggestive_p1e4	single_immune_proxy	immune_proxy	26	52	0.173421603305168	0.147298585687029	-15.0633007193287	0.0492445152631739	0.109915680545546	0.071294375225806	0.158156120491619	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top100	single_immune_proxy	immune_proxy	26	52	0.169086129009649	0.141637555187837	-16.2334864382909	0.0538124781711585	0.121304296686664	0.071294375225806	0.158156120491619	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top50	single_immune_proxy	immune_proxy	26	52	0.170412678077428	0.134556278053946	-21.0409227928397	0.0823578410385841	0.185395041534973	0.0823578410385841	0.185395041534973	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_Bonferroni	single_mineralization_remodeling_proxy	mineralization_remodeling_proxy	26	52	0.17423017748957	0.087438943640467	-49.8141223866334	0.0570355001806448	0.345657442654386	0.071294375225806	0.432071803317982	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_FDR05	single_mineralization_remodeling_proxy	mineralization_remodeling_proxy	26	52	0.172126461072211	0.111887010986728	-34.9972047936378	0.0384243004957732	0.201335226728374	0.071294375225806	0.432071803317982	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_suggestive_p1e4	single_mineralization_remodeling_proxy	mineralization_remodeling_proxy	26	52	0.173421603305168	0.109661800279917	-36.7657787784684	0.0492445152631739	0.238886651548691	0.071294375225806	0.432071803317982	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top100	single_mineralization_remodeling_proxy	mineralization_remodeling_proxy	26	52	0.169086129009649	0.0862209538734918	-49.0076717833125	0.0538124781711585	0.33156243490355	0.071294375225806	0.432071803317982	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top50	single_mineralization_remodeling_proxy	mineralization_remodeling_proxy	26	52	0.170412678077428	0.0561604944704598	-67.044415295825	0.0823578410385841	0.552480086873494	0.0823578410385841	0.552480086873494	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_Bonferroni	compact_injury_KIM1_LCN2_like_plus_fibrosis_remodeling	injury_KIM1_LCN2_like;fibrosis_remodeling	26	52	0.17423017748957	0.0393477398687479	-77.4162315416895	0.0570355001806448	0.659906696905322	0.071294375225806	0.824883371131653	strongly_attenuated	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_FDR05	compact_injury_KIM1_LCN2_like_plus_fibrosis_remodeling	injury_KIM1_LCN2_like;fibrosis_remodeling	26	52	0.172126461072211	0.0553279887529721	-67.8561980486192	0.0384243004957732	0.484273323011726	0.071294375225806	0.824883371131653	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_suggestive_p1e4	compact_injury_KIM1_LCN2_like_plus_fibrosis_remodeling	injury_KIM1_LCN2_like;fibrosis_remodeling	26	52	0.173421603305168	0.0513425240946478	-70.3943896745661	0.0492445152631739	0.544285305681719	0.071294375225806	0.824883371131653	strongly_attenuated	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top100	compact_injury_KIM1_LCN2_like_plus_fibrosis_remodeling	injury_KIM1_LCN2_like;fibrosis_remodeling	26	52	0.169086129009649	0.0384826925033087	-77.2407750247138	0.0538124781711585	0.650513580801414	0.071294375225806	0.824883371131653	strongly_attenuated	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top50	compact_injury_KIM1_LCN2_like_plus_fibrosis_remodeling	injury_KIM1_LCN2_like;fibrosis_remodeling	26	52	0.170412678077428	0.0220373114922211	-87.0682676072913	0.0823578410385841	0.824965204151615	0.0823578410385841	0.824965204151615	strongly_attenuated	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_Bonferroni	compact_Loop_TAL_transport_proxy_plus_fibroblast_stromal_ECM	Loop_TAL_transport_proxy;fibroblast_stromal_ECM	26	52	0.17423017748957	0.145783902186462	-16.3268359781193	0.0570355001806448	0.014473168953886	0.071294375225806	0.0241219482564766	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_FDR05	compact_Loop_TAL_transport_proxy_plus_fibroblast_stromal_ECM	Loop_TAL_transport_proxy;fibroblast_stromal_ECM	26	52	0.172126461072211	0.136270843914916	-20.8309733052913	0.0384243004957732	0.0241368140048529	0.071294375225806	0.0280627023750972	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_suggestive_p1e4	compact_Loop_TAL_transport_proxy_plus_fibroblast_stromal_ECM	Loop_TAL_transport_proxy;fibroblast_stromal_ECM	26	52	0.173421603305168	0.135384169915079	-21.9335034765853	0.0492445152631739	0.0280627023750972	0.071294375225806	0.0280627023750972	attenuated_but_retained	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top100	compact_Loop_TAL_transport_proxy_plus_fibroblast_stromal_ECM	Loop_TAL_transport_proxy;fibroblast_stromal_ECM	26	52	0.169086129009649	0.141412929224141	-16.366333505647	0.0538124781711585	0.0130776719734862	0.071294375225806	0.0241219482564766	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
MAGMA_top50	compact_Loop_TAL_transport_proxy_plus_fibroblast_stromal_ECM	Loop_TAL_transport_proxy;fibroblast_stromal_ECM	26	52	0.170412678077428	0.162206983661465	-4.81519010706144	0.0823578410385841	0.0107018223303197	0.0823578410385841	0.0241219482564766	retained_after_adjustment	Sensitivity result: attenuation indicates tissue-state embedding/sensitivity, not disproof or independent-mechanism proof.	Patient fixed-effect proxy adjustment; no formal deconvolution.
