gene	magma_rank	magma_p	magma_fdr	magma_status	in_MAGMA_top50	in_MAGMA_top100	in_MAGMA_Bonferroni	in_MAGMA_FDR05	in_MAGMA_suggestive	snRNA_support_status	snRNA_support_basis	twas_fdr_supported	twas_model_type	twas_p	twas_fdr	twas_proxy_status	spatial_status	bulk_status_if_available	existing_group	repaired_reporting_group	group_change	allowed_interpretation	not_allowed_interpretation	notes
MRPL33	25	5e-10	3.4632e-07	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
SLC4A1AP	28	1.485e-09	9.18366428571429e-07	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
CDK12	29	1.8139e-09	1.08308594482759e-06	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
SHROOM3	34	6.6992e-09	3.41186315294118e-06	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
DZIP1	35	7.8452e-09	3.88135666285714e-06	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_fdr_supported	0.00829299760063219	0.250566506451096	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
PKD2	37	1.2973e-08	5.91979357894737e-06	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
RBKS	39	1.4199e-08	6.3025911e-06	top50	TRUE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
GLT8D1	54	8.248e-08	2.64485866666667e-05	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_fdr_supported	0.00189300031603619	0.108538085428113	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
ASCC3	58	1.2019e-07	3.55682379661017e-05	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
DXO	61	1.4116e-07	4.00709272131148e-05	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_fdr_supported	0.319299992751681	0.819162150220141	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
AP1S3	66	1.8096e-07	4.73657211940298e-05	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
BNIP1	68	2.6597e-07	6.77284782352941e-05	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_fdr_supported	0.00396600042498648	0.163098348511685	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
PLCL1	74	6.0888e-07	0.00014247792	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
TMEM170A	76	7.387e-07	0.000168306963157895	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
SHLD2	82	1.216e-06	0.000256783609756098	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
WDR72	86	1.5509e-06	0.000312271911627907	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_fdr_supported	0.137999985513015	0.674606958200653	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
RAB36	90	1.8537e-06	0.00035665188	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_fdr_supported	0.0195800041122553	0.361252506602574	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
CFDP1	91	1.9537e-06	0.0003717612	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
GCAT	92	2.105e-06	0.000396197608695652	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
SLC12A3	93	2.2124e-06	0.000411934606451613	top100	FALSE	TRUE	TRUE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
POU2AF1	95	3.2217e-06	0.0005812404	top100	FALSE	TRUE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
TLN2	100	3.9958e-06	0.000691912728	top100	FALSE	TRUE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=1	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
KLK15	102	4.2968e-06	0.000729444988235294	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
TAX1BP1	105	4.8972e-06	0.00080761824	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
KYAT3	107	5.644e-06	0.000913378542056075	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_fdr_supported	0.688599994919096	0.931086223874851	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
GLUD1	109	6.7469e-06	0.00106282459636364	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
SLC15A2	110	6.7516e-06	0.00106282459636364	fdr05	FALSE	FALSE	FALSE	TRUE	TRUE	strong_context_support	Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	FALSE	not_tested_or_not_in_model	NA	NA	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	Tier2_moderate_MAGMA_scRNA	R1	Tier2_moderate_MAGMA_scRNA_to_R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.	Causal gene validation; papilla-specific regulatory inference; therapeutic target validity; spatial validation; TWAS-driven priority by one-SNP models.	Reporting group is not a causal tier; TWAS and spatial layers cannot upgrade priority beyond MAGMA + snRNA evidence.
