gene	source_category	magma_rank	magma_p	magma_fdr	bonferroni_significant	gwas_locus	lead_snp	nearest_locus_distance	twas_fdr	twas_reference_tissue	twas_model_snp_count	twas_interpretation	smr_status	coloc_status	current_exemplar_gene	known_kidney_transport_or_calcium_gene	ready_for_tier_assignment	notes
DNAJB11	MAGMA;TWAS_FDR	72	4.7752e-07	0.00011484356	yes	NA_not_found	NA_not_found	NA_not_found	0.000383669070236777	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
DXO	MAGMA	61	1.4116e-07	4.00709272131148e-05	yes	KSD_L048	rs3134962	NA_not_found	0.819162150220141	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
DZIP1	MAGMA	35	7.8452e-09	3.88135666285714e-06	yes	KSD_L012;KSD_L013		NA_not_found	0.250566506451096	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
F12	MAGMA;TWAS_FDR	80	1.0272e-06	0.00022233744	yes	NA_not_found	NA_not_found	NA_not_found	0.00594417103298279	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
FBXL20	MAGMA;TWAS_FDR	30	2.3822e-09	1.37500584e-06	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	3.53486592097157e-05	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
FHL3	MAGMA;TWAS_FDR	3280	0.094259	0.49761855	no	NA_not_found	NA_not_found	NA_not_found	0.0308137941214359	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
FNIP2	MAGMA;TWAS_FDR	134	2.3114e-05	0.0029868807761194	no			NA_not_found	0.0308137941214359	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
GCAT	MAGMA	92	2.105e-06	0.000396197608695652	yes	KSD_L037	rs6000890	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
GCKR	MAGMA	22	1.9757e-10	1.55505550909091e-07	yes	KSD_L031	rs1260326	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
GIPC1	MAGMA;TWAS_FDR	283	0.00046446	0.0284190436749117	no	NA_not_found	NA_not_found	NA_not_found	0.0165579728559187	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
GIPR	MAGMA	31	3.5899e-09	2.00524865806452e-06	yes	KSD_L029	rs34783010	NA_not_found	0.89743648206519	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
GLT8D1	MAGMA	54	8.248e-08	2.64485866666667e-05	yes	KSD_L038	rs731831	NA_not_found	0.108538085428113	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
GNAZ	MAGMA;TWAS_FDR	336	0.00084989	0.0437848162611276	no	NA_not_found	NA_not_found	NA_not_found	3.92763373566525e-14	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
GNL3	MAGMA;TWAS_FDR	64	1.5764e-07	4.2416208e-05	yes	NA_not_found	NA_not_found	NA_not_found	0.000225889054627223	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
HIBADH	current_curated_exemplar;MAGMA;coloc_resource_row	6	1.2884e-13	3.7183224e-10	yes	KSD_L054	rs42085	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	yes	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
HLA-DOB	MAGMA;TWAS_FDR	243	0.00027727	0.0197579093877551	no	NA_not_found	NA_not_found	NA_not_found	0.0382150228058212	GTEx_v8_Kidney_Cortex	3	stronger_proxy_support	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
HLA-DQA2	MAGMA	69	2.8956e-07	7.26669704347826e-05	yes	NA_not_found	NA_not_found	NA_not_found	0.215417832780365	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
HLA-DQB2	MAGMA	77	9.477e-07	0.00021040938	yes	NA_not_found	NA_not_found	NA_not_found	0.727575022663752	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
HLF	MAGMA;TWAS_FDR	318	0.00073105	0.039807741509434	no	NA_not_found	NA_not_found	NA_not_found	0.00311944215947809	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ITIH1	MAGMA	62	1.4601e-07	4.077918e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
ITIH3	MAGMA;TWAS_FDR	99	3.8642e-06	0.000675883709090909	no	NA_not_found	NA_not_found	NA_not_found	0.0001379688988725	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
KANSL1	MAGMA	43	3.7331e-08	1.4580072e-05	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	0.629720868908262	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
KCNK5	MAGMA	40	1.4559e-08	6.3025911e-06	yes	KSD_L049	rs1155347	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
LAYN	MAGMA	78	9.4779e-07	0.00021040938	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
LINC02875	MAGMA	46	4.4648e-08	1.6807060173913e-05	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
LMAN2	MAGMA	2	8.3822e-15	7.25730876e-11	yes	KSD_L044;KSD_L045;KSD_L046		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
LOC101927855	MAGMA	70	3.6834e-07	9.1116792e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
LOC101929578	MAGMA	84	1.3083e-06	0.0002696967	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
LRRC37A	MAGMA	33	6.1946e-09	3.25047556363636e-06	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
LUZP1	MAGMA;TWAS_FDR	249	0.00028977	0.0201512342168675	no	NA_not_found	NA_not_found	NA_not_found	0.0182221079575821	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
MAPT	MAGMA;TWAS_FDR	48	4.7004e-08	1.68265579591837e-05	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	0.00200612139342823	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
MED1	MAGMA;TWAS_FDR	32	5.9689e-09	3.2299210125e-06	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	8.22540994943945e-05	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
MED13	MAGMA;TWAS_FDR	197	0.00012765	0.0112202406091371	no	NA_not_found	NA_not_found	NA_not_found	0.0133638518675521	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
MINDY4	MAGMA	13	3.6551e-12	4.8685932e-09	yes	KSD_L055	rs6975977	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
MPHOSPH9	MAGMA;TWAS_FDR	404	0.0013058	0.055968398019802	no	NA_not_found	NA_not_found	NA_not_found	0.0418424874971654	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
MRPL33	MAGMA;coloc_resource_row	25	5e-10	3.4632e-07	yes	KSD_L031	rs1260326	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
MXD3	MAGMA	41	1.8593e-08	7.85259482926829e-06	yes	KSD_L044;KSD_L045;KSD_L046		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
NDUFAF1	MAGMA;TWAS_FDR	153	3.9598e-05	0.00447798506493507	no	NA_not_found	NA_not_found	NA_not_found	0.0148169544045015	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
NEK4	MAGMA;TWAS_FDR	57	1.1768e-07	3.55682379661017e-05	yes	NA_not_found	NA_not_found	NA_not_found	0.00371459644898581	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
NT5DC2	MAGMA	59	1.2119e-07	3.55682379661017e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
PBRM1	MAGMA	52	6.4297e-08	2.1410901e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
PDILT	MAGMA;coloc_resource_row	7	1.9224e-13	4.75546834285714e-10	yes	KSD_L018	rs77924615	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
PKD2	current_curated_exemplar;MAGMA;coloc_resource_row	37	1.2973e-08	5.91979357894737e-06	yes	KSD_L040;KSD_L041;KSD_L042;KSD_L043		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	yes	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
PKN1	MAGMA	71	4.6612e-07	0.00011368075943662	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
PLCL1	MAGMA	74	6.0888e-07	0.00014247792	yes			NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
PPHLN1	MAGMA;TWAS_FDR	118	8.986e-06	0.00131865742372881	no	KSD_L011	rs7974476	NA_not_found	0.0302984882519299	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
PRELID1	MAGMA	49	4.7615e-08	1.68265579591837e-05	yes	KSD_L044;KSD_L045;KSD_L046		NA_not_found	0.065050100549588	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
PRRC2A	MAGMA	83	1.2476e-06	0.000260282428915663	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
PTGER1	MAGMA;TWAS_FDR	3	2.2871e-14	1.32011412e-10	yes	KSD_L028	rs3760702	NA_not_found	1.47554137305292e-15	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
PTGS2	MAGMA	26	8.4817e-10	5.6488122e-07	yes	KSD_L003	rs113410176	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
RAB29	MAGMA	44	3.7546e-08	1.4580072e-05	yes	KSD_L004	rs823121	NA_not_found	0.596444322521491	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
RAB36	MAGMA	90	1.8537e-06	0.00035665188	yes	KSD_L036	rs3788338	NA_not_found	0.361252506602574	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
RBKS	MAGMA	39	1.4199e-08	6.3025911e-06	yes	KSD_L031	rs1260326	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
RFTN2	MAGMA	88	1.666e-06	0.000327823363636364	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
RGS14	MAGMA;TWAS_FDR	18	8.9644e-11	8.6237528e-08	yes	KSD_L044;KSD_L045;KSD_L046		NA_not_found	1.79783989058466e-36	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
RNASEH2C	MAGMA;TWAS_FDR	4280	0.14388	0.581958327884166	no	NA_not_found	NA_not_found	NA_not_found	0.0298150126526631	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
RNLS	MAGMA;coloc_resource_row	11	1.1644e-12	1.83297730909091e-09	yes	KSD_L008	rs6586063	NA_not_found	0.4813520558014	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
RP11-116D17.3	TWAS_FDR	NA_not_found	NA_not_found	NA_not_found	no	NA_not_found	NA_not_found	NA_not_found	0.0485692005624065	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
RP11-298J23.10	TWAS_FDR	NA_not_found	NA_not_found	NA_not_found	no	NA_not_found	NA_not_found	NA_not_found	0.00666929571363165	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
S100A16	MAGMA;TWAS_FDR	1578	0.028219	0.309539939240506	no	NA_not_found	NA_not_found	NA_not_found	0.0422751721226614	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SAG	MAGMA	17	6.776e-11	6.90195388235294e-08	yes	KSD_L030;KSD_L031;KSD_L032;KSD_L033		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SDHD	MAGMA;TWAS_FDR	210	0.00016472	0.0135823405714286	no	NA_not_found	NA_not_found	NA_not_found	0.0253953651138083	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SF3B1	MAGMA;TWAS_FDR	137	2.5402e-05	0.00319392365217391	no	NA_not_found	NA_not_found	NA_not_found	0.0088204776803022	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SHLD2	MAGMA	82	1.216e-06	0.000256783609756098	yes			NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
SHROOM3	MAGMA	34	6.6992e-09	3.41186315294118e-06	yes	KSD_L040;KSD_L041;KSD_L042;KSD_L043		NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	NA_not_found	no	no	partial	Skeleton only; final Tier 1/2/3 assignment deferred to Stage 3
