source_component	source_path	gene_id	gene_symbol	gene_name	chr	start	stop	n_snps	nparam	n	zstat	p	fdr	rank	bonferroni_significant	suggestive	gene_set	n_genes	TAL_percentile	top_celltype	top_celltype_percentile	evidence_class	locus_balanced_TAL_percentile_full	locus_balanced_TAL_percentile_conservative	leave_one_locus_out_min_TAL_percentile	interpretation
gene_results	results/tables/magma_genes.tsv	27166	PRELID1	PRELI domain containing 1	5	176730763	176733960	4	2	886007	5.3356	4.7615e-08	1.68265579591837e-05	49	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	1394	CRHR1	corticotropin releasing hormone receptor 1	17	43697710	43913194	619	5	908090	5.2923	6.0409e-08	2.05765009411765e-05	50	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	162540	SPPL2C	signal peptide peptidase like 2C	17	43922256	43924438	10	2	921859	5.2917	6.0603e-08	2.05765009411765e-05	51	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	55193	PBRM1	polybromo 1	3	52579368	52719866	137	3	963071	5.2808	6.4297e-08	2.1410901e-05	52	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	23166	STAB1	stabilin 1	3	52529354	52558512	22	4	934750	5.251	7.5622e-08	2.47069915471698e-05	53	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	55830	GLT8D1	glycosyltransferase 8 domain containing 1	3	52728500	52740099	8	1	975370	5.235	8.248e-08	2.64485866666667e-05	54	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	358	AQP1	aquaporin 1 (Colton blood group)	7	30951415	30965131	18	4	935653	5.1945	1.0263e-07	3.2311656e-05	55	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	85437	ZCRB1	zinc finger CCHC-type and RNA binding motif containing 1	12	42705888	42719932	15	3	951540	5.1885	1.0601e-07	3.27798064285714e-05	56	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	6787	NEK4	NIMA related kinase 4	3	52744796	52804965	58	3	941492	5.169	1.1768e-07	3.55682379661017e-05	57	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	10973	ASCC3	activating signal cointegrator 1 complex subunit 3	6	100956325	101329243	611	15	959287	5.165	1.2019e-07	3.55682379661017e-05	58	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	64943	NT5DC2	5'-nucleotidase domain containing 2	3	52558385	52569093	18	2	975370	5.1635	1.2119e-07	3.55682379661017e-05	59	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	199	AIF1	allograft inflammatory factor 1	6	31582969	31584798	7	3	975370	5.1553	1.2662e-07	3.6542532e-05	60	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	1797	DXO	decapping exoribonuclease	6	31937588	31940032	4	2	930689	5.1349	1.4116e-07	4.00709272131148e-05	61	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	3697	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1	3	52811602	52826084	19	2	965963	5.1285	1.4601e-07	4.077918e-05	62	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	440957	UQCC5	ubiquinol-cytochrome c reductase complex assembly factor 5	3	52570002	52574586	6	2	962629	5.116	1.5603e-07	4.2416208e-05	63	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	26354	GNL3	G protein nucleolar 3	3	52719936	52728513	8	2	953029	5.1141	1.5764e-07	4.2416208e-05	64	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	55054	ATG16L1	autophagy related 16 like 1	2	234160217	234204320	92	10	961771	5.1122	1.5922e-07	4.2416208e-05	65	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	130340	AP1S3	adaptor related protein complex 1 subunit sigma 3	2	224616403	224702319	235	20	963311	5.088	1.8096e-07	4.73657211940299e-05	66	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	144402	CPNE8	copine 8	12	39046002	39300395	427	23	961741	5.0856	1.8327e-07	4.73657211940299e-05	67	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	662	BNIP1	BCL2 interacting protein 1	5	172571445	172591390	34	6	964857	5.0144	2.6597e-07	6.77284782352941e-05	68	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	3118	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	6	32709156	32714664	33	6	953706	4.9981	2.8956e-07	7.26669704347826e-05	69	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	101927855	LOC101927855	uncharacterized LOC101927855	17	59440108	59444966	5	3	939625	4.9514	3.6834e-07	9.1116792e-05	70	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	5585	PKN1	protein kinase N1	19	14544166	14582679	64	13	930689	4.9054	4.6612e-07	0.00011368075943662	71	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	51726	DNAJB11	DnaJ heat shock protein family (Hsp40) member B11	3	186288467	186303589	28	2	968987	4.9007	4.7752e-07	0.00011484356	72	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	55171	TBCCD1	TBCC domain containing 1	3	186263856	186288332	33	5	959122	4.8951	4.9137e-07	0.000116555656438356	73	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	5334	PLCL1	phospholipase C like 1 (inactive)	2	198669426	199014608	389	17	960872	4.8527	6.0888e-07	0.00014247792	74	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	7917	BAG6	BAG cochaperone 6	6	31606805	31620953	32	10	950640	4.8305	6.8111e-07	0.0001572546768	75	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	124491	TMEM170A	transmembrane protein 170A	16	75477136	75498584	41	3	966652	4.8143	7.387e-07	0.000168306963157895	76	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	3120	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	6	32723837	32731330	37	5	922235	4.7643	9.477e-07	0.00021040938	77	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	143903	LAYN	layilin	11	111411233	111432470	9	2	955512	4.7642	9.4779e-07	0.00021040938	78	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	157680	VPS13B	vacuolar protein sorting 13 homolog B	8	100025299	100890447	943	14	958666	4.7571	9.8176e-07	0.000215191850126582	79	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	2161	F12	coagulation factor XII	5	176829139	176836577	4	2	886007	4.748	1.0272e-06	0.00022233744	80	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	534	ATP6V1G2	ATPase H+ transporting V1 subunit G2	6	31512228	31514625	6	4	975370	4.7185	1.1882e-06	0.000254010755555556	81	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	54537	SHLD2	shieldin complex subunit 2	10	88854953	88951225	151	10	959983	4.7137	1.216e-06	0.000256783609756098	82	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	7916	PRRC2A	proline rich coiled-coil 2A	6	31588450	31605554	49	12	948278	4.7085	1.2476e-06	0.000260282428915663	83	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	101929578	LOC101929578	transcription factor CP2-like	17	37394040	37402043	8	1	975370	4.6988	1.3083e-06	0.0002696967	84	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	9784	SNX17	sorting nexin 17	2	27593363	27600400	6	2	975370	4.6919	1.3535e-06	0.000275731835294118	85	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	256764	WDR72	WD repeat domain 72	15	53805938	54055075	698	31	958800	4.664	1.5509e-06	0.000312271911627907	86	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	7148	TNXB	tenascin XB	6	32008932	32077151	107	21	951754	4.653	1.6356e-06	0.0003255408	87	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	130132	RFTN2	raftlin family member 2	2	198435524	198540774	105	7	964429	4.6492	1.666e-06	0.000327823363636364	88	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	101928726			5	176532822	176548835	23	5	928746	4.6337	1.7963e-06	0.000349491357303371	89	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	9609	RAB36	RAB36, member RAS oncogene family	22	23487513	23506531	42	3	971115	4.6271	1.8537e-06	0.00035665188	90	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	10428	CFDP1	craniofacial development protein 1	16	75327608	75467387	250	8	950861	4.6162	1.9537e-06	0.0003717612	91	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	23464	GCAT	glycine C-acetyltransferase	22	38203906	38213183	15	3	939625	4.6007	2.105e-06	0.000396197608695652	92	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	6559	SLC12A3	solute carrier family 12 member 3	16	56899119	56949762	174	22	956002	4.5904	2.2124e-06	0.000411934606451613	93	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	93650	ACP4	acid phosphatase 4	19	51293672	51298481	16	3	953029	4.5455	2.7396e-06	0.000504669293617021	94	TRUE	TRUE										
gene_results	results/tables/magma_genes.tsv	5450	POU2AF1	POU class 2 homeobox associating factor 1	11	111222976	111250348	43	4	950431	4.5113	3.2217e-06	0.0005812404	95	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	388121	TNFAIP8L3	TNF alpha induced protein 8 like 3	15	51348798	51397473	74	9	958463	4.5112	3.2224e-06	0.0005812404	96	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	55620	STAP2	signal transducing adaptor family member 2	19	4324040	4342783	39	6	947874	4.5084	3.2665e-06	0.000583120762886598	97	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	10786	SLC17A3	solute carrier family 17 member 3	6	25845328	25874471	62	9	962606	4.4993	3.4084e-06	0.000602243412244898	98	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	3699	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3	3	52828784	52843025	11	2	959122	4.4726	3.8642e-06	0.000675883709090909	99	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	83660	TLN2	talin 2	15	62682769	63136830	601	68	947633	4.4654	3.9958e-06	0.000691912728	100	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	5519	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	11	111597632	111637169	10	3	975370	4.4539	4.216e-06	0.000722814415841584	101	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	55554	KLK15	kallikrein related peptidase 15	19	51328545	51334779	4	2	975370	4.4498	4.2968e-06	0.000729444988235294	102	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	4166	CHST6	carbohydrate sulfotransferase 6	16	75507022	75528926	26	7	968496	4.4399	4.4994e-06	0.000756423401941748	103	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	83741	TFAP2D	transcription factor AP-2 delta	6	50681257	50740746	39	3	971450	4.4275	4.7675e-06	0.00079378875	104	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	8887	TAX1BP1	Tax1 binding protein 1	7	27778992	27869386	102	12	956096	4.4217	4.8972e-06	0.00080761824	105	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	211	ALAS1	5'-aminolevulinate synthase 1	3	52232099	52248343	11	1	942874	4.4104	5.1595e-06	0.000842848132075472	106	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	56267	KYAT3	kynurenine aminotransferase 3	1	89401456	89458643	59	4	948107	4.3909	5.644e-06	0.000913378542056075	107	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	1427	CRYGS	crystallin gamma S	3	186256232	186263049	4	1	975370	4.3741	6.0968e-06	0.000977520266666667	108	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	2746	GLUD1	glutamate dehydrogenase 1	10	88809959	88854776	51	6	968361	4.3519	6.7469e-06	0.00106282459636364	109	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	6565	SLC15A2	solute carrier family 15 member 2	3	121613171	121663034	124	4	966722	4.3518	6.7516e-06	0.00106282459636364	110	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	145282	MIPOL1	mirror-image polydactyly 1	14	37667118	38020464	280	8	956590	4.3307	7.4324e-06	0.00115503904285714	111	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	54106	TLR9	toll like receptor 9	3	52255096	52260179	3	1	890313	4.3295	7.4708e-06	0.00115503904285714	112	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	7473	WNT3	Wnt family member 3	17	44839872	44896126	64	13	937114	4.3251	7.6224e-06	0.00116804848141593	113	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	613	BCR	BCR activator of RhoGEF and GTPase	22	23522402	23660224	211	21	936406	4.3218	7.7383e-06	0.00117540704210526	114	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	1591	CYP24A1	cytochrome P450 family 24 subfamily A member 1	20	52769985	52790516	57	10	951645	4.3131	8.0505e-06	0.00121219528695652	115	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	100506084	ARL17B	ARF like GTPase 17B	17	44351550	44439416	2	1	886007	4.3018	8.469e-06	0.00126421727586207	116	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	54814	QPCTL	glutaminyl-peptide cyclotransferase like	19	46195741	46207248	15	5	939625	4.2997	8.55e-06	0.0012654	117	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	51535	PPHLN1	periphilin 1	12	42719947	42842422	241	12	955454	4.2887	8.986e-06	0.00131865742372881	118	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	4905	NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase	17	44668035	44834830	48	5	942958	4.2784	9.4109e-06	0.00136940457478992	119	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	153222	CREBRF	CREB3 regulatory factor	5	172483355	172566291	115	10	947395	4.2642	1.0033e-05	0.0014477619	120	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	1388	ATF6B	activating transcription factor 6 beta	6	32083045	32096017	14	8	944377	4.2533	1.0531e-05	0.00150706442975207	121	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	3816	KLK1	kallikrein 1	19	51322402	51327043	10	2	939625	4.2467	1.0846e-05	0.00153942078688525	122	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	266722	HS6ST3	heparan sulfate 6-O-sulfotransferase 3	13	96743093	97491816	1070	51	963560	4.2404	1.1158e-05	0.00157082868292683	123	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	389376	SFTA2	surfactant associated 2	6	30899127	30899952	8	3	930689	4.213	1.2598e-05	0.00175924974193548	124	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	11261	CHP1	calcineurin like EF-hand protein 1	15	41523341	41574085	77	8	938232	4.1656	1.5528e-05	0.002151062784	125	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	27156	RSPH14	radial spoke head 14 homolog	22	23401593	23495807	106	7	956823	4.1625	1.5739e-05	0.00216298828571429	126	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	4706	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	16	23592335	23607639	21	3	966859	4.1559	1.6199e-05	0.0022086762519685	127	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	4795	NFKBIL1	NFKB inhibitor like 1	6	31514628	31526606	48	14	942397	4.1465	1.688e-05	0.0022835475	128	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	9477	MED20	mediator complex subunit 20	6	41873092	41888877	9	4	947018	4.1411	1.7284e-05	0.00232007553488372	129	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	54923	LIME1	Lck interacting transmembrane adaptor 1	20	62367480	62370460	5	2	960081	4.1297	1.8162e-05	0.0024191784	130	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	283464	GXYLT1	glucoside xylosyltransferase 1	12	42475647	42538673	86	7	967057	4.1103	1.976e-05	0.00261194015267176	131	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	55604	CARMIL1	capping protein regulator and myosin 1 linker 1	6	25279656	25620758	1130	68	959600	4.0945	2.1155e-05	0.00277515136363636	132	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	58528	RRAGD	Ras related GTP binding D	6	90074335	90121995	62	10	952309	4.0834	2.2188e-05	0.0028887775037594	133	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	57600	FNIP2	folliculin interacting protein 2	4	159690182	159829202	105	7	957866	4.0739	2.3114e-05	0.0029868807761194	134	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	254428	SLC41A1	solute carrier family 41 member 1	1	205758221	205782887	40	7	943474	4.0701	2.3492e-05	0.00301324053333333	135	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	3636	INPPL1	inositol polyphosphate phosphatase like 1	11	71934916	71950191	23	6	959829	4.0594	2.4598e-05	0.00313190417647059	136	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	23451	SF3B1	splicing factor 3b subunit 1	2	198256698	198299815	25	4	961072	4.0519	2.5402e-05	0.00319392365217391	137	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	7726	TRIM26	tripartite motif containing 26	6	30152232	30181271	87	13	950446	4.0514	2.5454e-05	0.00319392365217391	138	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	23235	SIK2	salt inducible kinase 2	11	111473170	111597635	81	3	943535	4.0409	2.6619e-05	0.00330005854285714	139	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	51203	NUSAP1	nucleolar and spindle associated protein 1	15	41624892	41673248	34	4	936325	4.0404	2.6681e-05	0.00330005854285714	140	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	100529241	HSPE1-MOB4	HSPE1-MOB4 readthrough	2	198364721	198418423	34	4	964857	4.0318	2.7672e-05	0.00339835710638298	141	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	7474	WNT5A	Wnt family member 5A	3	55499743	55521670	18	5	945582	4.0249	2.8503e-05	0.0034757601971831	142	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	79068	FTO	FTO alpha-ketoglutarate dependent dioxygenase	16	53737875	54148379	889	77	960782	4.0185	2.9285e-05	0.00354614727272727	143	FALSE	TRUE										
gene_results	results/tables/magma_genes.tsv	4855	NOTCH4	notch receptor 4	6	32162620	32191844	103	20	954798	4.0077	3.0657e-05	0.00367300824657534	144	FALSE	TRUE										
