module_name	module_role	model_type	n_samples	n_patients	effect_estimate	standard_error	test_statistic	p_value	fdr	effect_direction	model_status	interpretation	notes
collecting_duct	composition_signature	paired_patient_fixed_effect_lm	52	26	0.171158981092194	0.132125255516394	1.29542970738821	0.207006708745585	0.650555263678092	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
immune_myeloid	composition_signature	paired_patient_fixed_effect_lm	52	26	0.184461524933773	0.124168417764666	1.48557522318903	0.149893737709767	0.650555263678092	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
T_cell	composition_signature	paired_patient_fixed_effect_lm	52	26	-0.0144722974053833	0.134878071001194	-0.107299113176486	0.915408147394743	0.984925432220437	decrease	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
B_cell	composition_signature	paired_patient_fixed_effect_lm	52	26	0.0564323006156121	0.0953989470771635	0.591540078214562	0.559470164194641	0.79924309170663	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
fibroblast_stromal	composition_signature	paired_patient_fixed_effect_lm	52	26	0.114090440007273	0.165138914984477	0.690875557817476	0.496009114425766	0.79924309170663	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
endothelial	composition_signature	paired_patient_fixed_effect_lm	52	26	0.178350727473945	0.154819424599359	1.15199192824467	0.260222105471237	0.650555263678092	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
pericyte_smooth_muscle	composition_signature	paired_patient_fixed_effect_lm	52	26	-0.109409325116832	0.144503685501199	-0.757138648314435	0.456044014600145	0.79924309170663	decrease	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
injury_epithelial	injury_or_remodeling_signature	paired_patient_fixed_effect_lm	52	26	0.341481518760448	0.107717175595734	3.17016777381946	0.00399741824389675	0.00599612736584512	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
ECM_fibrosis	injury_or_remodeling_signature	paired_patient_fixed_effect_lm	52	26	0.128370163297085	0.143866218469372	0.892288437569613	0.380746884853309	0.380746884853309	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
mineralization_remodeling	injury_or_remodeling_signature	paired_patient_fixed_effect_lm	52	26	0.334961267766971	0.100011503168832	3.34922741038613	0.0025717799396878	0.00599612736584512	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.
