signature_1	signature_2	paired_delta_spearman_r	paired_delta_spearman_p	sample_level_spearman_r	sample_level_spearman_p	collinearity_flag	notes
LoopTAL	endothelial	0.158974358974359	0.437926701828534	0.551659451659452	1.26845282299126e-05	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
LoopTAL	epithelial_general	-0.0673504273504273	0.743741447522671	0.198124098124098	0.147059499308466	low	Signature-score correlations are redundancy diagnostics, not biology claims.
LoopTAL	fibroblast_stromal	-0.0543589743589744	0.791979973168334	0.407287157287157	0.0020276617078933	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
LoopTAL	immune_myeloid	0.490598290598291	0.0109394696532574	0.520995670995671	4.54111685465731e-05	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
LoopTAL	injury_epithelial	0.539145299145299	0.00448135521632331	0.570634920634921	5.39775029766739e-06	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
LoopTAL	mineralization_remodeling	0.843418803418803	6.29624194697783e-08	0.645165945165945	1.0540080409203e-07	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
LoopTAL	pericyte_smooth_muscle	-0.192478632478632	0.346175855601415	0.33961038961039	0.0111917886584855	low	Signature-score correlations are redundancy diagnostics, not biology claims.
LoopTAL	proximal_tubule	0.493333333333333	0.0104374990533094	0.702886002886003	2.19783782113209e-09	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
T_cell	collecting_duct	-0.258119658119658	0.20297097529119	0.239321789321789	0.0784480135782819	low	Signature-score correlations are redundancy diagnostics, not biology claims.
T_cell	endothelial	0.0858119658119658	0.676819102589604	0.575541125541126	4.29019809591296e-06	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
T_cell	epithelial_general	-0.158974358974359	0.437926701828534	0.167171717171717	0.222499453481277	low	Signature-score correlations are redundancy diagnostics, not biology claims.
T_cell	fibroblast_stromal	0.126837606837607	0.536943539113977	0.513059163059163	6.1944196385867e-05	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
T_cell	immune_myeloid	0.47008547008547	0.0153807956411069	0.824458874458875	1.03283533019129e-14	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
T_cell	injury_epithelial	-0.0844444444444445	0.681702372907262	0.525974025974026	3.72266107310001e-05	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
T_cell	mineralization_remodeling	0.0147008547008547	0.943177332809886	0.675901875901876	1.49431066088542e-08	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
T_cell	pericyte_smooth_muscle	0.104273504273504	0.612204666636092	0.476190476190476	0.000238005893040533	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
T_cell	proximal_tubule	-0.0208547008547009	0.919455695858924	0.490692640692641	0.000142742160103675	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
collecting_duct	endothelial	0.00307692307692308	0.988097871058901	0.404689754689755	0.00217969467939436	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
collecting_duct	epithelial_general	0.757264957264957	7.51630041739788e-06	0.892352092352092	5.94181602171252e-20	very_high_abs_r_ge_0.85	Signature-score correlations are redundancy diagnostics, not biology claims.
collecting_duct	fibroblast_stromal	-0.147350427350427	0.472556040092055	0.405194805194805	0.00214936170588793	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
collecting_duct	immune_myeloid	-0.104957264957265	0.609861220702868	0.377056277056277	0.00454466155111967	low	Signature-score correlations are redundancy diagnostics, not biology claims.
collecting_duct	injury_epithelial	0.411282051282051	0.0368531073564643	0.751010101010101	4.00094438875713e-11	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
collecting_duct	mineralization_remodeling	0.193162393162393	0.344432345204134	0.464069264069264	0.000358706288199012	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
collecting_duct	pericyte_smooth_muscle	-0.19042735042735	0.35143787088904	0.322727272727273	0.0162556698602862	low	Signature-score correlations are redundancy diagnostics, not biology claims.
collecting_duct	proximal_tubule	0.141880341880342	0.489326361399107	0.2495670995671	0.0661328200640461	low	Signature-score correlations are redundancy diagnostics, not biology claims.
endothelial	epithelial_general	-0.0311111111111111	0.88007794786367	0.331457431457431	0.0134354775225774	low	Signature-score correlations are redundancy diagnostics, not biology claims.
endothelial	fibroblast_stromal	0.690940170940171	9.31413109786824e-05	0.848629148629149	2.80968233284297e-16	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
endothelial	immune_myeloid	0.137777777777778	0.502097915892155	0.648701298701299	8.51370656732529e-08	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
endothelial	injury_epithelial	0.303931623931624	0.131169818656995	0.623448773448773	3.69190478610686e-07	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
endothelial	mineralization_remodeling	0.224615384615385	0.269957185474049	0.665223665223665	3.02244426116142e-08	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
endothelial	pericyte_smooth_muscle	0.576068376068376	0.00207128632372396	0.786507936507937	1.10676037817166e-12	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
endothelial	proximal_tubule	0.225982905982906	0.266974584978571	0.508802308802309	7.29385062680029e-05	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
epithelial_general	fibroblast_stromal	0.0632478632478633	0.758882592327649	0.37005772005772	0.00542160820904892	low	Signature-score correlations are redundancy diagnostics, not biology claims.
epithelial_general	immune_myeloid	0.0495726495726496	0.809952058766514	0.264430014430014	0.0510686826173687	low	Signature-score correlations are redundancy diagnostics, not biology claims.
epithelial_general	injury_epithelial	0.414700854700855	0.0351625175940218	0.741486291486291	9.47539698851257e-11	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
epithelial_general	mineralization_remodeling	0.00786324786324786	0.969589287145893	0.392568542568543	0.00303171779520207	low	Signature-score correlations are redundancy diagnostics, not biology claims.
epithelial_general	pericyte_smooth_muscle	0.0126495726495727	0.951096022352214	0.286868686868687	0.0337150398101606	low	Signature-score correlations are redundancy diagnostics, not biology claims.
epithelial_general	proximal_tubule	-0.234188034188034	0.249525701421105	-0.000865800865800866	0.994994530637461	low	Signature-score correlations are redundancy diagnostics, not biology claims.
fibroblast_stromal	immune_myeloid	0.237606837606838	0.242480830050774	0.646608946608947	9.66365331214703e-08	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
fibroblast_stromal	injury_epithelial	0.290940170940171	0.149314138102846	0.622871572871573	3.81201636525406e-07	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
fibroblast_stromal	mineralization_remodeling	0.276581196581197	0.171377824008003	0.595887445887446	1.58895571974938e-06	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
fibroblast_stromal	pericyte_smooth_muscle	0.873504273504273	5.72479802690659e-09	0.915007215007215	1.51686692144208e-22	very_high_abs_r_ge_0.85	Signature-score correlations are redundancy diagnostics, not biology claims.
fibroblast_stromal	proximal_tubule	-0.163076923076923	0.426039743583658	0.390692640692641	0.00318709915769659	low	Signature-score correlations are redundancy diagnostics, not biology claims.
immune_myeloid	injury_epithelial	0.539145299145299	0.00448135521632331	0.730880230880231	2.37083049637679e-10	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
immune_myeloid	mineralization_remodeling	0.541880341880342	0.00424484843762203	0.812481962481962	5.05656536389843e-14	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
immune_myeloid	pericyte_smooth_muscle	0.124102564102564	0.545829001462102	0.579220779220779	3.60255791051352e-06	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
immune_myeloid	proximal_tubule	-0.162393162393162	0.428008570618747	0.422366522366522	0.00131739419849213	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
injury_epithelial	mineralization_remodeling	0.696410256410256	7.76154755249263e-05	0.793578643578644	4.9914170097979e-13	high_abs_r_ge_0.7	Signature-score correlations are redundancy diagnostics, not biology claims.
injury_epithelial	pericyte_smooth_muscle	0.0584615384615385	0.776656888619773	0.526623376623377	3.62656775044629e-05	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
injury_epithelial	proximal_tubule	0.0830769230769231	0.686598154491689	0.254761904761905	0.0605083573219291	low	Signature-score correlations are redundancy diagnostics, not biology claims.
mineralization_remodeling	pericyte_smooth_muscle	0.0516239316239316	0.802237686980389	0.497907647907648	0.000109732476447906	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
mineralization_remodeling	proximal_tubule	0.303931623931624	0.131169818656995	0.47994227994228	0.000208973545842855	moderate	Signature-score correlations are redundancy diagnostics, not biology claims.
pericyte_smooth_muscle	proximal_tubule	-0.167179487179487	0.414331169978688	0.344877344877345	0.00992090674023617	low	Signature-score correlations are redundancy diagnostics, not biology claims.
