module_name	covariate_signature	n_paired_patients	intercept_estimate	intercept_p	covariate_beta	covariate_p	model_r2	module_delta_direction_after_adjustment	retained_direction_after_adjustment	adjustment_result	notes
R1_R2_R3_all_MAGMA_Bonferroni	immune_myeloid	26	0.122066798180164	0.100389493407445	0.280665832362354	0.0177865443874312	0.212481557585415	increase	TRUE	attenuated_but_direction_retained	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_R2_R3_all_MAGMA_Bonferroni	fibroblast_stromal	26	0.138103167929443	0.02290140834848	0.313222367122159	0.000116116847575014	0.468084482241181	increase	TRUE	retained_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_R2_R3_all_MAGMA_Bonferroni	endothelial	26	0.117293723424312	0.0632574674647312	0.317044527886653	0.000332499901916519	0.421513294775928	increase	TRUE	attenuated_but_direction_retained	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_R2_R3_all_MAGMA_Bonferroni	injury_epithelial	26	-0.0150441694573178	0.79137562438953	0.553128074858863	1.75284911773262e-06	0.621070891340505	decrease	FALSE	lost_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_R2_R3_all_MAGMA_Bonferroni	ECM_fibrosis	26	0.134399818535094	0.0451421230568317	0.307228923501196	0.00170944415058344	0.34179185596461	increase	TRUE	retained_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
R1_R2_R3_all_MAGMA_Bonferroni	mineralization_remodeling	26	-0.00168773967150826	0.98009325630283	0.524020542602407	8.64249740659887e-05	0.480525445442135	decrease	FALSE	lost_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top50	epithelial_general	26	0.124553085501014	0.157661303835987	0.201946180741486	0.097163451345466	0.110445261890505	increase	TRUE	attenuated_but_direction_retained	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top50	LoopTAL	26	0.180463527026575	0.00313516597459326	0.355331484313481	9.15982007247176e-06	0.566555056307513	increase	TRUE	retained_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top50	immune_myeloid	26	0.121330415871213	0.121603957414686	0.326940942014457	0.00990984272632925	0.246342427294882	increase	TRUE	attenuated_but_direction_retained	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top50	fibroblast_stromal	26	0.153453182836895	0.0463324528223544	0.247043115617675	0.00949437170824359	0.248784127204849	increase	TRUE	retained_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top50	endothelial	26	0.135586572851953	0.0821706072572457	0.258209587360713	0.0112898811130471	0.238876775627497	increase	TRUE	attenuated_but_direction_retained	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top50	injury_epithelial	26	-0.0308007289259117	0.591817190655644	0.62211029837144	3.07919716342323e-07	0.671247991459094	decrease	FALSE	lost_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top50	ECM_fibrosis	26	0.151324179851025	0.0614874156698831	0.236147247684826	0.0348409531207983	0.172528853351042	increase	TRUE	retained_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top50	mineralization_remodeling	26	-0.0358200511704779	0.563212182566107	0.649204886340009	1.3019732967701e-06	0.630146853933252	decrease	FALSE	lost_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top100	epithelial_general	26	0.103454182684563	0.177055292339807	0.230046479624816	0.0333524572014864	0.175150589557489	increase	TRUE	attenuated_but_direction_retained	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top100	LoopTAL	26	0.167659775777927	0.0116077592109502	0.248914976598824	0.00177798892010707	0.339767171125589	increase	TRUE	retained_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top100	immune_myeloid	26	0.11798381671556	0.104711642689161	0.27376442577442	0.018214532229697	0.211085908741839	increase	TRUE	attenuated_but_direction_retained	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top100	fibroblast_stromal	26	0.13341281244435	0.0242115937814607	0.307387785689512	0.000109154923374968	0.470711694761974	increase	TRUE	retained_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top100	endothelial	26	0.113769091870519	0.0675195117939378	0.306776030975267	0.000407670535029274	0.412075380726586	increase	TRUE	attenuated_but_direction_retained	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top100	injury_epithelial	26	-0.017160948372028	0.756215452621557	0.543642212944431	1.47136175696912e-06	0.62643956606655	decrease	FALSE	lost_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top100	ECM_fibrosis	26	0.129225423248748	0.0468640873627476	0.305814029596011	0.00135634242038252	0.353602550723329	increase	TRUE	retained_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
MAGMA_top100	mineralization_remodeling	26	-0.000904088986012713	0.989239224299028	0.505691031926656	0.000118400774914385	0.46725433037762	decrease	FALSE	lost_after_adjustment	Paired-delta single-covariate sensitivity; intercept tests residual module shift at covariate delta zero.
