reference_number	first_author	year	title_short	doi_or_url_present	needs_external_verification	possible_issue	reference_status	action_needed	priority	notes
11	Taguchi K	2017	Genome-Wide Gene Expression Profiling of Randall's Plaques in Calcium Oxalate Stone Formers	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
12	Taguchi K	2016	M1/M2-macrophage phenotypes regulate renal calcium oxalate crystal development	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
13	Khan SR	2021	Randall's plaque and calcium oxalate stone formation: role for immunity and inflammation	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
14	Marien TP	2016	Characteristics of renal papillae in kidney stone formers	yes	yes	URL present but DOI absent	DOI_missing_or_not_available	Determine from authoritative records whether a DOI exists; retain PubMed URL if no DOI is assigned.	high	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
15	Canela VH	2023	A spatially anchored transcriptomic atlas of the human kidney papilla identifies significant immu...	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
16	Lake BB	2023	An atlas of healthy and injured cell states and niches in the human kidney	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
17	Lake BB	2019	A single-nucleus RNA-sequencing pipeline to decipher the molecular anatomy and pathophysiology of...	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
18	Bleich M	2017	Heterogeneity of tight junctions in the thick ascending limb	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
19	Yu AS	2015	Claudins and the kidney	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
20	Breiderhoff T	2012	Deletion of claudin-10 (Cldn10) in the thick ascending limb impairs paracellular sodium permeabil...	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
21	Wolf MTF	2019	Uromodulin in mineral metabolism	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
22	Guha M	2015	Polymorphisms in CaSR and CLDN14 Genes Associated with Increased Risk of Kidney Stone Disease in...	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
23	Alexander RT	2017	Effect of diuretics on renal tubular transport of calcium and magnesium	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
24	de Leeuw CA	2015	MAGMA: generalized gene-set analysis of GWAS data	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
25	Finucane HK	2018	Heritability enrichment of specifically expressed genes identifies disease-relevant tissues and c...	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
26	Skene NG	2018	Genetic identification of brain cell types underlying schizophrenia	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
27	Ritchie ME	2015	limma powers differential expression analyses for RNA-sequencing and microarray studies	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
28	Hao Y	2021	Integrated analysis of multimodal single-cell data	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
29	Wu T	2021	clusterProfiler 4.0: A universal enrichment tool for interpreting omics data	yes	yes	not detected in main-text citations	citation_use_needs_human_review	Confirm whether this reference supports a retained claim; cite appropriately or remove only after author review.	high	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
30	Gusev A	2016	Integrative approaches for large-scale transcriptome-wide association studies	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
31	Zhu Z	2016	Integration of summary data from GWAS and eQTL studies predicts complex trait gene targets	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
32	Giambartolomei C	2014	Bayesian test for colocalisation between pairs of genetic association studies using summary stati...	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
33	Edgar R	2002	Gene Expression Omnibus: NCBI gene expression and hybridization array data repository	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
34	Howles SA	2020	Genetics of kidney stone disease	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
35	Vezzoli G	2011	Genetics and calcium nephrolithiasis	yes	yes	not detected in main-text citations	citation_use_needs_human_review	Confirm whether this reference supports a retained claim; cite appropriately or remove only after author review.	high	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
36	Howles SA	2019	Genetic variants of calcium and vitamin D metabolism in kidney stone disease	yes	yes	not detected in main-text citations	citation_use_needs_human_review	Confirm whether this reference supports a retained claim; cite appropriately or remove only after author review.	high	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
37	Benjamini Y	1995	Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
38	GTEx Consortium	2020	The GTEx Consortium atlas of genetic regulatory effects across human tissues	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
39	Barbeira AN	2018	Exploring the phenotypic consequences of tissue specific gene expression variation inferred from...	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
40	Wainberg M	2019	Opportunities and challenges for transcriptome-wide association studies	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
41	Wallace C	2020	Eliciting priors and relaxing the single causal variant assumption in colocalisation analyses	yes	yes	none detected by structural audit	pending_external_verification	Verify complete metadata and citation support against publisher/DOI/PubMed records.	medium	Carried forward unchanged from manuscript v2.1; verify authors, title, journal, year, volume, issue, pages/article number, DOI and citation use against an external authoritative record. Stage 7E local scan found 40 DOI tokens, no citation placeholders and no BibTeX-key issue; no bibliography metadata were changed.
