figure	panel	final_proposed_filename	source_data_file	source_exists	row_count_if_readable	column_count_if_readable	ready_for_packaging	needs_human_review	notes
Figure 2	F	Source_Data_Figure_2_Panel_F.tsv	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelF_source.tsv	yes	figure2_panelF_source.tsv:20	figure2_panelF_source.tsv:17	ready_for_packaging_pending_final_format	yes	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission. Upstream status: draft_ready. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 2	G	Source_Data_Figure_2_Panel_G.tsv	results/tables/revision/stage4C2R_draft_figures_v0.2/figure2_panelG_source.tsv	yes	figure2_panelG_source.tsv:7	figure2_panelG_source.tsv:9	ready_for_packaging_pending_final_format	yes	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission. Upstream status: draft_ready. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 3	A	Source_Data_Figure_3_Panel_A.tsv	results/tables/revision/stage4C2R_draft_figures_v0.2/figure3_panelA_source.tsv	yes	figure3_panelA_source.tsv:10	figure3_panelA_source.tsv:3	ready_for_packaging_pending_final_format	yes	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission. Upstream status: draft_ready. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 3	B	Source_Data_Figure_3_Panel_B.tsv	results/tables/revision/stage4C2R_draft_figures_v0.2/figure3_panelB_source.tsv	yes	figure3_panelB_source.tsv:6	figure3_panelB_source.tsv:8	ready_for_packaging_pending_final_format	yes	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission. Upstream status: draft_ready. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 3	C	Source_Data_Figure_3_Panel_C.tsv	results/tables/revision/stage4C2R_draft_figures_v0.2/figure3_panelC_source.tsv	yes	figure3_panelC_source.tsv:6	figure3_panelC_source.tsv:4	ready_for_packaging_pending_final_format	yes	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission. Upstream status: draft_ready. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 3	D	Source_Data_Figure_3_Panel_D.tsv	results/tables/revision/stage4C2R_draft_figures_v0.2/figure3_panelD_source.tsv	yes	figure3_panelD_source.tsv:18	figure3_panelD_source.tsv:4	ready_for_packaging_pending_final_format	yes	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission. Upstream status: draft_ready. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 3	E	Source_Data_Figure_3_Panel_E.tsv	results/tables/revision/stage4C2R_draft_figures_v0.2/figure3_panelE_source.tsv	yes	figure3_panelE_source.tsv:9	figure3_panelE_source.tsv:2	ready_for_packaging_pending_final_format	yes	Stage 4C2-R v0.2 source extract derived from Stage 4C2 frozen source data; final publication source data should be rechecked before submission. Upstream status: draft_ready. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 4	A	Source_Data_Figure_4_Panel_A.tsv	results/tables/revision/stage5B1_gse73680_module_response/gse73680_stage5B1_pairing_summary.tsv	yes	gse73680_stage5B1_pairing_summary.tsv:29	gse73680_stage5B1_pairing_summary.tsv:7	ready_for_packaging_pending_final_format	yes	Patient-level paired-design provenance; counts displayed are derived from these records. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 4	B	Source_Data_Figure_4_Panel_B.tsv	results/tables/revision/stage5B1_gse73680_module_response/gse73680_paired_module_delta.tsv;results/tables/revision/stage5B1_gse73680_module_response/gse73680_paired_module_delta_summary.tsv	yes	gse73680_paired_module_delta.tsv:572;gse73680_paired_module_delta_summary.tsv:22	gse73680_paired_module_delta.tsv:12;gse73680_paired_module_delta_summary.tsv:15	ready_for_packaging_pending_final_format	yes	Four primary MAGMA modules x 26 paired patients; unadjusted bulk deltas. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 4	C	Source_Data_Figure_4_Panel_C.tsv	results/tables/revision/stage5B1_gse73680_module_response/gse73680_module_response_model.tsv	yes	gse73680_module_response_model.tsv:22	gse73680_module_response_model.tsv:14	ready_for_packaging_pending_final_format	yes	Patient fixed-effect model estimates and derived 95% confidence intervals. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 4	D	Source_Data_Figure_4_Panel_D.tsv	results/tables/revision/stage5B1_gse73680_module_response/gse73680_signature_response_summary.tsv	yes	gse73680_signature_response_summary.tsv:13	gse73680_signature_response_summary.tsv:16	ready_for_packaging_pending_final_format	yes	Bulk marker-signature summaries; explicitly not cell fractions. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 4	E	Source_Data_Figure_4_Panel_E.tsv	results/tables/revision/stage5B2_gse73680_composition_adjusted/gse73680_adjustment_retention_summary.tsv;results/tables/revision/stage5B2_gse73680_composition_adjusted/gse73680_delta_adjusted_single_covariate_models.tsv;results/tables/revision/stage5B2_gse73680_composition_adjusted/gse73680_delta_adjusted_compact_models.tsv;results/tables/revision/stage5B2_gse73680_composition_adjusted/gse73680_patient_fixed_effect_adjusted_models.tsv	yes	gse73680_adjustment_retention_summary.tsv:4;gse73680_delta_adjusted_single_covariate_models.tsv:32;gse73680_delta_adjusted_compact_models.tsv:20;gse73680_patient_fixed_effect_adjusted_models.tsv:32	gse73680_adjustment_retention_summary.tsv:14;gse73680_delta_adjusted_single_covariate_models.tsv:12;gse73680_delta_adjusted_compact_models.tsv:11;gse73680_patient_fixed_effect_adjusted_models.tsv:11	ready_for_packaging_pending_final_format	yes	Derived sensitivity-outcome counts; attenuation/loss remains visible. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 4	F	Source_Data_Figure_4_Panel_F.tsv	results/tables/revision/stage5B1_gse73680_module_response/gse73680_module_signature_correlation.tsv;results/tables/revision/stage5B2_gse73680_composition_adjusted/gse73680_injury_remodeling_coupling_interpretation.tsv	yes	gse73680_module_signature_correlation.tsv:104;gse73680_injury_remodeling_coupling_interpretation.tsv:4	gse73680_module_signature_correlation.tsv:11;gse73680_injury_remodeling_coupling_interpretation.tsv:9	ready_for_packaging_pending_final_format	yes	Paired-delta correlations merged with the Stage 5B2 coupling boundary. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 4	G	Source_Data_Figure_4_Panel_G.tsv	results/tables/revision/stage5B1_gse73680_module_response/gse73680_stage5B1_claim_decision_table.tsv;results/tables/revision/stage5B2_gse73680_composition_adjusted/gse73680_stage5B2_claim_decision_table.tsv;results/tables/revision/stage5C1_gse73680_figure4_draft/gse73680_final_claim_lock_stage5C1.tsv	yes	gse73680_stage5B1_claim_decision_table.tsv:5;gse73680_stage5B2_claim_decision_table.tsv:7;gse73680_final_claim_lock_stage5C1.tsv:7	gse73680_stage5B1_claim_decision_table.tsv:7;gse73680_stage5B2_claim_decision_table.tsv:8;gse73680_final_claim_lock_stage5C1.tsv:6	ready_for_packaging_pending_final_format	yes	Claim statements and hard exclusions; no quantitative inference. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 5	A	Source_Data_Figure_5_Panel_A.tsv	results/tables/revision/stage6B1_spatial_context_projection/spatial_section_qc_stage6B1.tsv	yes	spatial_section_qc_stage6B1.tsv:5	spatial_section_qc_stage6B1.tsv:11	ready_for_packaging_pending_final_format	yes	Five-section QC and no-ROI boundary; representative selection rule recorded. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 5	B	Source_Data_Figure_5_Panel_B.tsv	results/tables/revision/stage6B1_spatial_context_projection/spatial_spot_module_scores.tsv;data/processed/spatial/gse206306/GSM6250309/spatial/tissue_hires_image.png;data/processed/spatial/gse206306/GSM6250309/spatial/scalefactors_json.json	yes	spatial_spot_module_scores.tsv:139446;tissue_hires_image.png:not_tabular;scalefactors_json.json:not_tabular	spatial_spot_module_scores.tsv:15;tissue_hires_image.png:not_tabular;scalefactors_json.json:not_tabular	ready_for_packaging_pending_final_format	yes	QC-selected representative section with two spot-level overlays; visualization only; image and scale factor listed. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 5	C	Source_Data_Figure_5_Panel_C.tsv	results/tables/revision/stage6B1_spatial_context_projection/spatial_section_level_consistency_summary.tsv	yes	spatial_section_level_consistency_summary.tsv:32	spatial_section_level_consistency_summary.tsv:11	ready_for_packaging_pending_final_format	yes	Four primary modules x four key contexts; adjusted section-level evidence matrix. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 5	D	Source_Data_Figure_5_Panel_D.tsv	results/tables/revision/stage6B1_spatial_context_projection/spatial_within_section_codistribution.tsv	yes	spatial_within_section_codistribution.tsv:160	spatial_within_section_codistribution.tsv:12	ready_for_packaging_pending_final_format	yes	All raw/adjusted module-section pairs for four key contexts; no spot-level P values plotted. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 5	E	Source_Data_Figure_5_Panel_E.tsv	results/tables/revision/stage6A_spatial_twas_audit/twas_boundary_integration_audit.tsv;results/tables/revision/stage6B1_spatial_context_projection/spatial_module_manifest_stage6B1.tsv	yes	twas_boundary_integration_audit.tsv:7;spatial_module_manifest_stage6B1.tsv:19	twas_boundary_integration_audit.tsv:8;spatial_module_manifest_stage6B1.tsv:8	ready_for_packaging_pending_final_format	yes	TWAS proxy counts plus R2/R5 spatial-module status. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
Figure 5	F	Source_Data_Figure_5_Panel_F.tsv	results/tables/revision/stage6B1_spatial_context_projection/spatial_stage6B1_claim_decision_table.tsv;results/tables/revision/stage6C_spatial_twas_figure5_draft/spatial_twas_final_claim_lock_stage6C.tsv	yes	spatial_stage6B1_claim_decision_table.tsv:7;spatial_twas_final_claim_lock_stage6C.tsv:9	spatial_stage6B1_claim_decision_table.tsv:7;spatial_twas_final_claim_lock_stage6C.tsv:6	ready_for_packaging_pending_final_format	yes	Required claim strip and locked spatial/TWAS wording. Upstream status: yes_draft. Row/column counts are reported per readable source; non-tabular assets are retained as provenance files.
