module_name	excluded_donor	remaining_donors	remaining_loop_tal_nuclei	loop_tal_mean_score	loop_tal_rank	loop_tal_percentile_rank	top_compartment	support_retained	notes
R1_MAGMA_Bonferroni_only	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.376488755097425	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R1_MAGMA_Bonferroni_only	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.3548243874292	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R1_MAGMA_Bonferroni_only	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.38986163593984	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R1_R2_R3_all_MAGMA_Bonferroni	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.327560147075914	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R1_R2_R3_all_MAGMA_Bonferroni	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.335362799892332	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R1_R2_R3_all_MAGMA_Bonferroni	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.317096108518472	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R1_R2_R3_all_MAGMA_Bonferroni	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.348856070201257	1	100	Loop_of_Henle_TAL	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.119928478528059	5	20	Pericyte_smooth_muscle	insufficient_data	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.158901476553866	3	60	Injured_undifferentiated_epithelial	insufficient_data	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.160824666293675	4	40	Pericyte_smooth_muscle	insufficient_data	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.2198273106878	1	100	Loop_of_Henle_TAL	insufficient_data	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R2_R3_MAGMA_plus_TWAS_proxy	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.125112798146693	5	20	Pericyte_smooth_muscle	no	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R2_R3_MAGMA_plus_TWAS_proxy	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.129733023866868	4	40	Pericyte_smooth_muscle	no	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R2_R3_MAGMA_plus_TWAS_proxy	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.128454713964834	3	60	Pericyte_smooth_muscle	partial	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R2_R3_MAGMA_plus_TWAS_proxy	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.14382824150834	4	40	Pericyte_smooth_muscle	no	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.125511591963511	5	20	Pericyte_smooth_muscle	no	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.127489296737099	4	40	Pericyte_smooth_muscle	no	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.125964717631846	4	40	Pericyte_smooth_muscle	no	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.137982159263766	4	40	Pericyte_smooth_muscle	no	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R4_MAGMA_lower_priority	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.27754725481696	2	80	Endothelial	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R4_MAGMA_lower_priority	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.283771753063113	2	80	Endothelial	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R4_MAGMA_lower_priority	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.276645118802649	2	80	Endothelial	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R4_MAGMA_lower_priority	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.300410700104631	2	80	Endothelial	yes	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R5_TWAS_proxy_only	GSM7290910	GSM7290912;GSM7290913;GSM7290914	511	0.0901226851614221	6	0	Fibroblast_stromal	insufficient_data	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R5_TWAS_proxy_only	GSM7290912	GSM7290910;GSM7290913;GSM7290914	296	0.0695758468484785	6	0	Fibroblast_stromal	insufficient_data	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R5_TWAS_proxy_only	GSM7290913	GSM7290910;GSM7290912;GSM7290914	277	0.0922541109302342	5	20	Fibroblast_stromal	insufficient_data	leave-one-donor-out rank after equal-weight averaging donor x compartment means
R5_TWAS_proxy_only	GSM7290914	GSM7290910;GSM7290912;GSM7290913	536	0.125976321470067	4	40	Endothelial	insufficient_data	leave-one-donor-out rank after equal-weight averaging donor x compartment means
